Ref,Mid X,Mid Y,Layer,Rotation
C201,167.7,-134.65,top,90
C202,162.05,-141.2,top,180
C203,164.05,-137.4,top,0
C204,166.05,-128.8,top,180
C205,159.45,-117.65,top,90
C206,165.45,-112.65,top,180
C301,165.625,-107.64,top,0
C302,165.45,-109.65,top,180
C303,168.98,-77.3,top,0
C304,170.93,-107.15,top,0
C305,178.48,-77.3,top,0
C401,149.92,-76.7,top,180
C402,150.275,-75.12,top,0
C403,150,-134.65,top,180
C404,150.225,-133,top,0
C405,149.5,-86.395,top,-90
C406,150,-144.1,top,-90
C407,152,-83.12,top,-90
C408,142.225,-85.37,top,0
C409,140.78,-76.68,top,0
C410,136.3,-89.37,top,180
C411,152,-141.67,top,-90
C412,147.225,-85.37,top,0
C413,142,-143.2,top,0
C414,141.975,-134.2,top,0
C415,138.3,-147.62,top,180
C416,147.225,-143.62,top,0
C417,150,-105.4,top,180
C418,150.225,-103.75,top,0
C419,149.5,-114.225,top,-90
C420,152.25,-112.2,top,-90
C421,142.225,-113.5,top,0
C422,142.225,-105,top,0
C423,138,-118,top,180
C424,147,-114,top,0
D201,159.45,-123.15,top,180
D301,177.3875,-101.85,top,180
D302,177.5125,-98.4,top,0
D303,174.2,-110.65,top,90
D304,179.5125,-106.2,top,180
D401,145.975,-93.95,top,0
D402,143,-153,top,180
D403,141,-124,top,180
J201,169.7,-150.8,top,180
J202,184.45,-123.8,top,0
J203,159.14,-150.8,top,180
J206,184.4,-139.4,top,0
J207,184.4,-145.625,top,0
J301,184.275,-78.08,top,0
J302,183.0375,-99.8,top,90
J303,184.275,-90.16,top,0
J304,184.275,-108.12,top,0
J305,184.275,-115.12,top,0
J401,124,-72.75,top,-90
J402,124,-130.76,top,-90
J403,124,-101.75,top,-90
L201,176.05,-131.8,top,90
R201,159.035,-121.3,top,0
R202,159.75,-136.425,top,90
R203,160.6,-131.5,top,0
R204,161.7,-134.15,top,90
R301,170.775,-108.65,top,180
R302,178.275,-80.65,top,0
R303,178.275,-83.16,top,0
R304,177.125,-95.65,top,180
R401,148.69,-73.09,top,0
R402,146.5,-75.62,top,180
R403,148,-130,top,180
R404,146.175,-132,top,180
R405,144,-90.37,top,-90
R406,154.5,-78.5,top,180
R407,145,-148.62,top,-90
R408,154.175,-137,top,180
R409,140.25,-78.62,top,180
R410,140.25,-82.62,top,180
R411,154.5,-79.98,top,180
R412,140.975,-136.2,top,180
R413,154.5,-77,top,180
R414,141,-141.2,top,180
R415,154.175,-138.5,top,180
R416,154.175,-135.5,top,180
R417,148.5,-101,top,0
R418,146.675,-103,top,180
R419,145,-118.825,top,-90
R420,153.825,-108,top,180
R421,140.5375,-107.21,top,180
R422,140.5375,-111.5,top,180
R423,153.825,-109.5,top,180
R424,153.825,-106.5,top,180
SW301,169,-73.675,top,0
SW302,178.5,-73.8,top,0
U201,164.75,-134.5125,top,-90
U202,165.6,-117.65,top,0
U301,165.75,-99.75,top,90
U401,147.4,-80.62,top,90
U402,147.5,-138.5,top,90
U403,147.4,-109.25,top,90
