Designator,Mid X,Mid Y,Layer,Rotation
C1,192.4,-71.3,top,270
C2,194.2,-70.625,top,270
C3,197,-70.2,top,0
C4,188.6,-66.4,top,0
C6,174.42,-83.1,top,180
C7,188.68,-85.4,top,180
C9,192.5,-77.5,top,270
C10,192.8,-72.9,top,0
C11,188.525,-87.05,top,180
C12,185.2,-102.05,top,180
C13,180.25,-96.975,top,270
C14,192.4,-74.6,top,270
C15,196.22,-79.93,top,180
C16,195.72,-72.8,top,0
C18,174.6,-84.7,top,0
D1,180.05,-93.4,top,90
D2,167,-92.8625,top,270
D3,169.8,-97.4625,top,90
D4,172.6,-93.2125,top,270
D5,173.2125,-86.75,top,0
FB1,195.05,-68.05,top,0
J1,198.9,-67.35,top,180
J2,171.55,-102.75,top,0
J3,194.8,-59.75,top,270
J4,194.17,-102.5025,top,0
J5,198.3,-95.775,top,180
R1,176.6125,-94.3,top,180
R2,185.85,-86.55,top,90
R3,193,-64.9,top,90
R4,190.8,-66.3875,top,90
R5,176.6625,-86.75,top,0
SW1,198.85,-85.65,top,270
U1,185.15,-96.35,top,90
U2,182.9,-75.89,top,180
Y1,195.7,-76.35,top,90
